case,rep,theta,steps,outcome,reward
0,0,0.0,65,goal,110.54
0,1,0.0,65,goal,110.67
0,2,0.0,65,goal,110.64
1,0,1.57,63,goal,109.24
1,1,1.57,63,goal,108.96
1,2,1.57,63,goal,108.87
2,0,-1.57,67,goal,106.6
2,1,-1.57,67,goal,106.59
2,2,-1.57,67,goal,107.42
3,0,3.14,69,goal,104.73
3,1,3.14,69,goal,105.25
3,2,3.14,69,goal,104.81
4,0,0.0,500,timeout,-304.65
4,1,0.0,500,timeout,-307.12
4,2,0.0,500,timeout,-306.84
5,0,0.0,500,timeout,-298.68
5,1,0.0,500,timeout,-297.83
5,2,0.0,500,timeout,-294.22
