case,rep,start_y,steps,outcome,reward
0,0,5.0,29,collision,-95.17
0,1,5.0,29,collision,-95.36
0,2,5.0,31,collision,-95.47
1,0,5.0,29,collision,-95.43
1,1,5.0,29,collision,-95.2
1,2,5.0,29,collision,-95.3
2,0,5.0,29,collision,-95.49
2,1,5.0,29,collision,-95.72
2,2,5.0,30,collision,-95.85
3,0,6.0,30,collision,-96.59
3,1,6.0,30,collision,-97.04
3,2,6.0,32,collision,-97.3
4,0,4.0,28,collision,-96.5
4,1,4.0,28,collision,-96.5
4,2,4.0,28,collision,-96.36
5,0,7.0,35,collision,-95.26
5,1,7.0,36,collision,-95.59
5,2,7.0,35,collision,-95.89
6,0,3.0,32,collision,-98.13
6,1,3.0,50,goal,109.76
6,2,3.0,33,collision,-98.44
