scene,case,rep,theta,steps,outcome
S1_U_trap,0,0,0.0,300,timeout
S1_U_trap,0,1,0.0,300,timeout
S1_U_trap,0,2,0.0,300,timeout
S1_U_trap,1,0,1.57,300,timeout
S1_U_trap,1,1,1.57,300,timeout
S1_U_trap,1,2,1.57,300,timeout
S1_U_trap,2,0,3.14,300,timeout
S1_U_trap,2,1,3.14,300,timeout
S1_U_trap,2,2,3.14,300,timeout
S1_U_trap,3,0,-1.57,300,timeout
S1_U_trap,3,1,-1.57,300,timeout
S1_U_trap,3,2,-1.57,300,timeout
S1_U_trap,4,0,0.0,300,timeout
S1_U_trap,4,1,0.0,300,timeout
S1_U_trap,4,2,0.0,300,timeout
S1_U_trap,5,0,0.0,300,timeout
S1_U_trap,5,1,0.0,300,timeout
S1_U_trap,5,2,0.0,300,timeout
S1_U_trap,6,0,3.14,300,timeout
S1_U_trap,6,1,3.14,300,timeout
S1_U_trap,6,2,3.14,300,timeout
S1_U_trap,7,0,1.57,300,timeout
S1_U_trap,7,1,1.57,300,timeout
S1_U_trap,7,2,1.57,300,timeout
S1_U_trap,8,0,-1.57,300,timeout
S1_U_trap,8,1,-1.57,300,timeout
S1_U_trap,8,2,-1.57,300,timeout
S1_U_trap,9,0,2.0,300,timeout
S1_U_trap,9,1,2.0,300,timeout
S1_U_trap,9,2,2.0,300,timeout
S2_double_U,0,0,0.0,300,timeout
S2_double_U,0,1,0.0,300,timeout
S2_double_U,0,2,0.0,300,timeout
S2_double_U,1,0,1.57,300,timeout
S2_double_U,1,1,1.57,300,timeout
S2_double_U,1,2,1.57,300,timeout
S2_double_U,2,0,-1.57,300,timeout
S2_double_U,2,1,-1.57,300,timeout
S2_double_U,2,2,-1.57,300,timeout
S2_double_U,3,0,3.14,300,timeout
S2_double_U,3,1,3.14,300,timeout
S2_double_U,3,2,3.14,300,timeout
S2_double_U,4,0,1.57,300,timeout
S2_double_U,4,1,1.57,300,timeout
S2_double_U,4,2,1.57,300,timeout
S2_double_U,5,0,-1.57,300,timeout
S2_double_U,5,1,-1.57,300,timeout
S2_double_U,5,2,-1.57,300,timeout
S3_narrow_door,0,0,0.0,39,goal
S3_narrow_door,0,1,0.0,39,goal
S3_narrow_door,0,2,0.0,39,goal
S3_narrow_door,1,0,0.3,39,goal
S3_narrow_door,1,1,0.3,39,goal
S3_narrow_door,1,2,0.3,39,goal
S3_narrow_door,2,0,-0.3,40,goal
S3_narrow_door,2,1,-0.3,40,goal
S3_narrow_door,2,2,-0.3,40,goal
S3_narrow_door,3,0,0.0,40,goal
S3_narrow_door,3,1,0.0,40,goal
S3_narrow_door,3,2,0.0,40,goal
S3_narrow_door,4,0,0.0,42,goal
S3_narrow_door,4,1,0.0,42,goal
S3_narrow_door,4,2,0.0,42,goal
S3_narrow_door,5,0,0.0,44,goal
S3_narrow_door,5,1,0.0,44,goal
S3_narrow_door,5,2,0.0,44,goal
S3_narrow_door,6,0,0.0,300,timeout
S3_narrow_door,6,1,0.0,300,timeout
S3_narrow_door,6,2,0.0,231,goal
S4_dead_end_maze,0,0,0.0,500,timeout
S4_dead_end_maze,0,1,0.0,500,timeout
S4_dead_end_maze,0,2,0.0,500,timeout
S4_dead_end_maze,1,0,1.57,500,timeout
S4_dead_end_maze,1,1,1.57,500,timeout
S4_dead_end_maze,1,2,1.57,500,timeout
S4_dead_end_maze,2,0,-1.57,500,timeout
S4_dead_end_maze,2,1,-1.57,500,timeout
S4_dead_end_maze,2,2,-1.57,500,timeout
S4_dead_end_maze,3,0,3.14,500,timeout
S4_dead_end_maze,3,1,3.14,500,timeout
S4_dead_end_maze,3,2,3.14,500,timeout
S4_dead_end_maze,4,0,0.0,500,timeout
S4_dead_end_maze,4,1,0.0,500,timeout
S4_dead_end_maze,4,2,0.0,500,timeout
S4_dead_end_maze,5,0,0.0,500,timeout
S4_dead_end_maze,5,1,0.0,500,timeout
S4_dead_end_maze,5,2,0.0,500,timeout
S5_symmetric_corridor,0,0,0.0,73,goal
S5_symmetric_corridor,0,1,0.0,73,goal
S5_symmetric_corridor,0,2,0.0,73,goal
S5_symmetric_corridor,1,0,1.57,78,goal
S5_symmetric_corridor,1,1,1.57,77,goal
S5_symmetric_corridor,1,2,1.57,80,goal
S5_symmetric_corridor,2,0,-1.57,79,goal
S5_symmetric_corridor,2,1,-1.57,80,goal
S5_symmetric_corridor,2,2,-1.57,79,goal
S5_symmetric_corridor,3,0,3.14,88,goal
S5_symmetric_corridor,3,1,3.14,88,goal
S5_symmetric_corridor,3,2,3.14,86,goal
S5_symmetric_corridor,4,0,0.0,73,goal
S5_symmetric_corridor,4,1,0.0,73,goal
S5_symmetric_corridor,4,2,0.0,73,goal
S5_symmetric_corridor,5,0,0.0,73,goal
S5_symmetric_corridor,5,1,0.0,73,goal
S5_symmetric_corridor,5,2,0.0,73,goal
