scene,case,rep,outcome,steps
S5 对称长走廊,0,0,goal,52
S5 对称长走廊,0,1,goal,52
S5 对称长走廊,0,2,goal,52
S5 对称长走廊,1,0,goal,57
S5 对称长走廊,1,1,goal,57
S5 对称长走廊,1,2,goal,57
S5 对称长走廊,2,0,goal,56
S5 对称长走廊,2,1,goal,56
S5 对称长走廊,2,2,goal,56
S5 对称长走廊,3,0,timeout,300
S5 对称长走廊,3,1,timeout,300
S5 对称长走廊,3,2,timeout,300
S5 对称长走廊,4,0,goal,52
S5 对称长走廊,4,1,goal,52
S5 对称长走廊,4,2,goal,52
S5 对称长走廊,5,0,goal,52
S5 对称长走廊,5,1,goal,52
S5 对称长走廊,5,2,goal,52
S2 双U陷阱,0,0,goal,25
S2 双U陷阱,0,1,goal,25
S2 双U陷阱,0,2,goal,25
S2 双U陷阱,1,0,timeout,300
S2 双U陷阱,1,1,timeout,300
S2 双U陷阱,1,2,timeout,300
S2 双U陷阱,2,0,goal,29
S2 双U陷阱,2,1,goal,29
S2 双U陷阱,2,2,goal,29
S2 双U陷阱,3,0,timeout,300
S2 双U陷阱,3,1,timeout,300
S2 双U陷阱,3,2,timeout,300
S2 双U陷阱,4,0,timeout,300
S2 双U陷阱,4,1,timeout,300
S2 双U陷阱,4,2,timeout,300
S2 双U陷阱,5,0,timeout,300
S2 双U陷阱,5,1,timeout,300
S2 双U陷阱,5,2,timeout,300
