episode,case_idx,init_theta,steps,outcome,reward
1,0,0.0,300,timeout,-214.27
2,0,0.0,300,timeout,-214.8
3,1,1.57,300,timeout,-205.37
4,1,1.57,300,timeout,-211.16
5,2,3.14,300,timeout,-202.95
6,2,3.14,300,timeout,-205.61
7,3,-1.57,300,timeout,-212.81
8,3,-1.57,300,timeout,-210.16
9,4,0.0,300,timeout,-232.67
10,4,0.0,300,timeout,-232.66
11,5,0.0,300,timeout,-197.06
12,5,0.0,300,timeout,-192.5
13,6,3.14,300,timeout,-163.93
14,6,3.14,300,timeout,-163.76
15,7,1.57,300,timeout,-224.25
16,7,1.57,300,timeout,-224.54
17,8,-1.57,300,timeout,-229.47
18,8,-1.57,300,timeout,-223.83
19,9,2.0,300,timeout,-165.26
20,9,2.0,300,timeout,-163.14
